"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"10uM_48h"	"10uM_48h.1"	"10uM_48h.2"	"10uM_48h.3"	"10uM_48h.4"	"10uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"phosphoethanolamine"	1766351	2108936	2151927	2048737	2323590	2249384	2783976	2564890	2921923	2826276	2938378	2912109	2715081	2557865	2855442	2700692	3016562	3229746	3595880	3580544	3522825	3262517	3663645	3576421	4728702	5182126	5649943	4922953	5059139	5029382	1950048	1996860	2214053	739306	1976234	2260378	2640323	2547489	2393986	1445139	2119003	1959974	1897931	2192374	1991211	2105540	2014852	1980652	2318541	2291731	2852165	2669911	2089340	2211336	1373735	1363470	935443	1014654	1122391	1325289
"pipecolate"	NA	657495	697822	NA	201610	NA	802662	596986	205929	1091667	NA	835792	NA	NA	927968	NA	777665	NA	259232	NA	355365	NA	NA	NA	930730	226171	543209	NA	414144	629416	1042244	791130	837294	NA	521221	NA	275302	797080	721422	NA	NA	567967	896743	620571	NA	1026910	487056	NA	1153021	376637	NA	NA	802920	NA	1138145	373892	917454	NA	1183195	1230090
"piperidine"	1362235	1382627	301939	2554008	1489459	513147	1980324	7178200	4517919	808968	1359057	936852	1571138	641663	745190	1215209	1699182	444171	1217437	2378786	2666489	2276767	2711456	2015474	2520371	909259	983257	844374	1248156	2764769	2353447	2081296	2679534	1378615	1745085	1581472	3793459	1253960	2017990	5471499	9136300	1946072	4479879	6018655	844189	2779375	3626173	5871557	3490596	2013387	2784643	1558436	1906383	1378235	1976244	982569	4501853	4156219	6362560	805458
"proline"	284371584	384875520	359451328	244424976	228789696	253489936	511049536	531777504	425360608	521270208	380965344	532385888	178315392	365920192	512705760	342870144	559768256	383090912	433535104	308881504	238515136	308922688	281715712	313654304	433060448	243338448	380762016	296774272	356560736	437202656	647855168	561762624	768920320	123373832	651730368	545976384	598507456	611277184	642762240	311142848	612177920	526932896	570115328	530090624	371365120	522361568	363173984	374608608	484688320	477593792	329693760	283218848	385898080	372251008	845308096	535206944	1074949760	694867840	1016197184	1091605504
"propionylcarnitine"	20993632	22661412	20372720	20455652	15835495	18869172	31819426	35735388	28095786	32722752	22809612	32320988	16791428	19328030	35090552	29373974	36938604	30756070	25578954	25560626	18929572	18146064	21200858	23880126	25349580	21360884	20377016	16974370	21579632	22641128	46747568	47137920	56192524	10212195	47916976	55030704	30493872	36995768	42636508	19999016	43802404	43252056	35650992	32044200	30614842	32236268	31699968	30865584	25288136	21591964	19435024	18080260	20983288	19310632	59517420	46943688	83855824	62873116	90297280	86658528
"pterin"	26418	88658	49790	NA	NA	NA	86248	73664	NA	53041	62106	88854	40168	36509	NA	NA	103297	NA	56842	NA	37576	41244	37055	35995	60285	33377	60554	41351	29804	57843	69351	62609	131470	NA	47614	37838	65232	115328	67303	46035	NA	71547	53236	NA	49959	55669	39262	NA	40329	46499	NA	NA	30382	44157	153482	36979	110542	67475	67266	69807
"putrescine"	21755356	19143748	15237853	16356330	15085788	16056070	19679876	18490710	18653914	18216784	20169068	19106848	16150161	13826158	17445560	18050614	19387428	21094320	11919548	13283017	12728275	10517221	11098754	10087732	10004709	10670682	9589295	8285656	8569511	8620945	19371588	19492744	21340562	4656686	22863166	22452192	16870232	17668416	22145924	12311321	23181700	23610824	5940434	6853295	9372606	8491792	6936245	6671064	3479354	3300172	4566837	2559097	3270380	4123456	20187996	20344252	21353294	22846032	24022184	19733156
"pyridoxal"	662967	542851	312948	566367	400443	395306	768500	991366	1030858	1203805	777903	572741	360969	678443	766834	466554	1004453	1092806	835022	977075	362045	577177	636580	376775	1148873	984882	875386	582077	516165	622298	1513473	1395520	1778823	NA	2144589	1808507	945304	1074190	1313377	393066	1487272	1391296	819116	930456	550033	992866	1214859	977086	1065787	971779	956882	724021	658348	633436	1490913	1579672	2726559	2340553	2988368	2351656
"pyridoxal phosphate"	30430	66812	NA	NA	NA	NA	117088	198218	81559	168539	127911	166262	57290	55226	119387	55318	105146	77554	87767	61326	26680	NA	NA	NA	129775	81988	85811	35917	86474	63492	132627	146454	247730	NA	153234	156672	156748	190091	124944	NA	170814	197849	57938	101440	54110	92372	NA	NA	82487	105120	33596	NA	51141	NA	188021	117061	293150	230617	188845	292656
"pyridoxamine"	633109	662728	1112019	699718	522029	759537	1207101	1119342	960545	1492855	610313	1300001	654673	817540	1561653	935354	1572945	984349	1288140	822816	974901	642479	740566	900659	1346456	1002267	1247485	897034	1067250	1443055	816431	829116	2514565	455989	1322932	1883368	1477197	1589381	1238653	887971	1309678	1573973	1856636	1616276	1562056	1911640	1069972	1331102	1528012	1148466	1132417	1044380	1177093	1237614	1622982	1164929	2363893	1360407	1968043	3083920
"pyridoxamine phosphate"	NA	NA	45414	24234	43218	43075	144441	119022	NA	163158	NA	243767	44903	57935	167139	132220	136252	98610	87628	48271	78922	68616	44601	NA	45295	59172	51275	NA	NA	140273	152908	129176	268936	22071	104148	NA	67627	228415	177208	NA	105338	164692	192319	130714	105945	136447	44944	106992	76222	75390	43644	37052	66094	50750	181059	131724	129034	239485	243702	294961
"pyridoxine (Vitamin B6)"	1725375	1383420	2916030	2798083	2569957	2428541	2751375	2566474	3378425	3996856	1970703	2646669	2295961	2474748	4205110	3703213	4804934	3224566	3590513	2934132	1912832	2504003	2155666	2078557	3466702	2939452	3058837	2112339	2250692	3034251	3056994	2227322	5613008	836600	4785761	5511871	3013902	3556600	4250441	1595402	4728599	5436886	3317559	3040437	4244096	3398670	3745476	3686446	2728898	2342067	3210916	2442351	2214456	2401506	4185509	3608353	6241002	5703836	8569819	7113144
"pyroglutamine*"	1144759	1360752	1254188	1094066	1141659	1110990	1641786	1926858	1599274	1796187	1373618	2150466	NA	1492945	2037059	970820	1873116	1562986	1587533	1568808	1299136	993986	932171	1100953	1596581	1228191	1444256	265476	1137852	1476603	1680346	2540750	2723708	712836	2452187	2184157	2059233	2273075	1957874	1551810	1701582	1901014	1635177	1661140	1382970	1744098	1513670	830360	1420344	1349561	1135800	488798	1529747	1193982	2955994	2446099	3591734	2497086	3407030	3328119
"pyruvate"	218213	146773	127513	191109	124779	134134	320124	312190	308143	386167	252252	285068	193756	197945	264515	340082	402092	327357	293746	341395	255826	200978	276272	273578	309488	352720	316099	285040	289169	291450	577021	622096	602921	165563	617684	619385	426093	429288	617392	286881	552710	657721	375632	306885	303672	309660	292021	310475	320983	278876	279677	252466	218029	182635	767986	667927	988559	1170428	1238288	1057070
"ribitol"	316259	233042	196623	283601	179345	NA	463181	278571	NA	475734	347377	248781	254971	NA	301333	403285	372241	293244	417844	435799	356384	307807	331501	295081	391501	399959	379703	398492	385856	608260	588339	506026	463470	120353	504419	430207	437411	361615	595354	333975	661411	413111	529146	335769	404164	434326	331335	320744	424716	367458	305026	357275	273881	273105	672163	615434	604954	912914	682292	NA
"ribonate"	4386646	2650424	2728274	3136909	2066303	2434449	4676233	3690393	4022662	5613491	2945289	3506199	2006301	3848430	4015887	4315823	6005684	4254149	4856920	6185712	3031269	3705266	4420424	3699411	5298585	5083003	4603005	3596676	4701920	4382824	5819496	6133877	6907014	1301860	5051591	7815276	3657071	3682371	6328898	2377369	5680169	5922757	5240363	4381003	4608058	5154056	4519441	3874162	3863716	3997131	4616877	4542258	2919930	3900117	8690679	7799030	9691334	9118944	10040921	8273026
"S-1-pyrroline-5-carboxylate"	NA	255361	239182	173731	193603	113929	246946	322177	NA	288166	282893	309097	91501	224669	398378	NA	358842	NA	333810	NA	266518	252895	NA	NA	304051	109299	303789	231261	NA	213964	NA	355003	512749	64947	348634	220576	316386	392200	205632	233229	349991	424195	173707	289316	328380	271169	NA	NA	293634	366138	NA	NA	235239	215570	499282	273843	616090	497642	459610	597147
"S-adenosylhomocysteine (SAH)"	113110	96704	109219	109116	81134	127931	294586	273446	385369	322152	241601	299506	192206	137106	299721	241071	209172	288796	162552	119656	204173	106097	131322	145052	140394	117404	158386	159551	94973	187846	430691	315474	411481	44125	355718	408369	289339	326753	377730	152311	300784	385577	129077	114383	181020	147216	90548	133933	107460	48497	98324	96096	60577	81738	422880	359483	478684	445435	334707	452642
"S-adenosylmethionine (SAM)"	193321	140894	161962	159252	130165	154165	380715	479957	258420	561256	227491	425272	NA	173481	455253	152972	348656	295889	219868	119640	215302	215251	151134	146064	368737	118115	256397	NA	104189	302693	446744	419741	615295	NA	387676	405207	307095	524347	405834	226361	315616	409356	231830	187135	168591	224664	169081	127946	209702	NA	156299	NA	NA	NA	477872	273803	817370	492302	451973	771430
"S-lactoylglutathione"	1071620	145363	691511	870985	814884	566947	847803	625262	1309211	2105944	430071	387620	1115097	1234085	1711152	1686482	1912785	1798322	1620622	1441451	815561	1217224	956000	774287	1432388	1720421	1340266	1581330	1761798	1046249	1695957	1827755	2566518	328632	2871939	2554438	1622070	930835	1595626	643227	2377662	3102332	1451540	1253108	1681146	1681042	1569939	1328327	1203723	1469199	1112849	1087492	1132020	837962	1533586	808246	3444741	3729778	3253934	3893700
"S-methylglutathione"	90296	128922	215032	57528	53843	112068	597535	614633	487336	777386	302557	852428	221910	291993	885676	286151	561514	468484	280474	125833	251026	111621	134644	199836	317049	140460	238944	154549	110059	336042	541654	378327	1083603	NA	483144	656706	469099	673352	556821	131135	325532	537630	306891	162667	233901	301868	93267	142025	163576	41506	57635	86620	78201	29487	776056	470678	1252835	615582	597487	1228626
"S-nitrosoglutathione (GSNO)"	482194	1237900	694314	631736	408854	311067	1931127	973393	1683878	1516684	1841665	1385314	1219094	1032065	1394662	1087373	1256560	1375677	977859	1068185	936749	852967	565270	349752	1227892	1104844	1368661	1169164	944701	669136	2192304	2035976	2193159	NA	1859551	1721522	1448079	1359512	1643757	NA	1388429	1745857	648189	721319	1562537	1174976	588666	336703	847311	956487	626798	664519	NA	NA	2059492	6746853	2804259	3184214	2731832	2091646
"salicylate"	3430330	3109885	3061475	3359916	2755127	2898053	2970827	3194877	2886380	3333173	3157424	2995328	3224588	3654076	2906693	3445064	3136628	3178905	2822314	3753871	3041192	2835486	3245898	3007735	2785904	3612226	3356471	3201440	3434907	2820967	3086229	3148998	2839415	808406	2821188	3476041	3091483	3094185	3377499	1709374	3014150	3287954	3352377	2964821	2892229	3212933	2744612	2942136	3034821	2934247	3184261	2811134	2654316	2986764	2827406	3285168	2963856	3333554	3577871	2752861
"sedoheptulose-7-phosphate"	NA	79178	148314	63291	50661	68119	81306	133347	43585	193569	52387	154383	23727	71660	214407	69948	135220	66130	111038	48124	61518	68743	63603	64502	177621	78320	95739	43592	94461	198479	53786	80322	150400	NA	78049	104843	89217	125026	88564	NA	75387	136258	102514	92725	55647	136253	43329	94754	75749	140162	34135	33766	153893	71184	174255	76053	278757	154078	169680	347552
"serine"	8872916	9244364	11084603	8447707	11868466	11371097	10396946	12625888	10506801	16719547	12479446	14280463	10880867	9012854	13121091	10410351	14552601	11004627	10721627	10194634	11238838	8494924	6674079	7386616	12268208	6831395	12412049	9117330	12171643	10798092	7783836	7688178	15926328	4048407	14471542	14278417	11958319	11078520	8224606	8379808	17332864	17636670	11475624	9397530	12461289	12365352	9736787	9903038	11867657	10572858	7512140	8963487	10993109	7712574	14842283	9604719	19060438	17442512	15072297	20703928
"serotonin"	109615	123754	130937	100267	NA	72427	163984	174197	105133	NA	49402	NA	NA	126205	165559	98341	56561	NA	96349	NA	NA	NA	104626	125029	96848	68944	NA	45645	114051	158715	98527	115864	174782	NA	101236	148267	119774	115567	160558	82712	55471	NA	106385	112144	NA	NA	253606	135706	NA	NA	71920	NA	84286	145230	380584	217015	318686	208273	346621	274131
"spermidine"	16599118	26087478	14649919	11309609	16977288	17901938	34923132	24655948	12811144	25445812	44695136	32934954	18813678	21582524	23206192	14631681	29792220	20286702	21131264	17656252	25161276	16910216	15653762	18849132	32239648	18068974	26755246	19294888	14936967	14465228	29987688	15593246	46675732	1592206	35645876	23972756	23486934	30963016	34190848	6800260	40358256	25582168	20065404	20159116	33669892	29079536	18807812	12079320	27262372	19268458	16395369	18037476	15595814	21074592	32008144	6946455	28614860	17370762	29268100	24686228
"spermine"	2014321	2939441	1400900	1103317	2900650	2547655	4890391	2214017	1403640	2127246	6554191	3617723	3945178	1956081	2636488	1574864	3119308	2892934	2161801	2467751	1983005	2925028	1319056	2404394	2835919	1427888	2274591	3677665	2005120	910301	5687221	1934678	4602982	NA	5875583	3163070	2378575	1839648	4380473	198579	8719704	3545599	2042521	1576029	6176100	2606286	3587839	1728860	3818318	2848729	3447282	3764501	1259842	3996745	3410393	672309	3305641	2322125	5110996	2223961
"sphinganine"	343195	311967	238683	334410	348903	311951	174089	201700	217668	272928	222194	220259	181312	158161	194041	258428	241556	236787	238010	279193	221928	286981	274251	252937	194563	203343	174683	224198	301685	319864	276723	454208	256706	78453	402338	347092	240057	257113	344439	182127	338821	360948	286500	294450	343867	329583	302095	327309	254187	276489	216501	235916	192424	221037	439044	464598	439486	544632	631450	655297
"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	1378569	1262040	1248301	1280708	1558986	1558942	1366349	1752567	1977984	2002055	1953389	1756979	1522282	1374376	1752949	2308803	1651192	2213557	1565068	2111274	1936538	1940671	1534212	1630002	1346631	1938947	1405656	1808935	2042090	1717946	2315131	3390009	1884932	505673	2590135	2974860	2115589	2047813	2539246	1826438	2531421	3500808	1674079	2001411	2344657	1709900	1582647	2060415	1222020	1589713	1426422	1378048	1077964	987624	2511662	2780505	2604784	3365888	3259448	3301464
"sphingomyelin (d18:1/15:0, d16:1/17:0)*"	966956	827043	751264	955483	921303	1033088	762744	933322	1131395	1255147	858044	915654	1051525	776606	887458	1394437	925276	1116154	1027883	1145853	1103663	1123940	1011321	997517	713016	1117258	655868	1020029	1345896	1085572	1496155	1881844	952734	289246	1462639	1763272	1354033	1277951	1510509	926863	1187284	2097194	1052821	1117562	1354279	1144975	927452	1188973	834540	931791	816761	817155	639905	713088	1494333	2011941	1365410	2072269	2557140	2173463
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	959791	762690	772955	859939	998352	1039690	543711	842641	1044398	1254438	693918	881054	723830	965131	818506	1556359	833808	1011923	876509	1075794	1169889	1303524	960010	1135691	592439	1030227	634358	1007404	1236217	1114291	1072743	2256419	818678	249792	1247449	1623851	1624686	1799513	1243014	1044745	943722	1860327	1291365	1711154	1310940	1340027	904667	1513694	845283	1294726	873661	1031398	759690	745882	1569073	1922282	1065514	1871070	2097502	1945489
"sphingomyelin (d18:1/18:1, d18:2/18:0)"	592639	448987	444485	486573	569390	607592	411144	500978	559520	702199	527597	543685	466956	522569	527955	896424	410474	595057	584005	739756	573834	648231	478406	607969	357915	551898	439953	518820	729760	676308	712698	1321702	467953	100954	932260	940838	817101	865279	764066	556883	696900	1124771	792829	914035	659704	767607	598967	834731	521750	548155	488282	401153	409125	350005	827211	1078494	855329	1097506	1292967	1490806
"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	335144	219447	320783	487379	381446	487023	126455	225315	219694	361704	138386	205987	141565	244881	156224	550564	248253	258295	222489	311524	226322	370450	252531	415715	116422	368554	107668	215500	454955	577064	244291	488655	106916	NA	293042	345790	308590	312418	244894	265618	147321	467908	351589	431612	159650	321607	146899	373573	175205	415147	107773	170113	150552	146817	285744	418870	244315	430846	487919	583867
"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	126932	106745	82605	176689	162723	193734	56472	91020	92484	134274	65363	110232	75698	132376	104143	230134	100645	114049	116628	129294	108971	180573	122325	136163	45994	130352	NA	101918	171587	206106	88881	205973	33541	NA	97142	162697	96347	122703	110597	76761	70109	141975	125214	173890	99289	137625	54385	153257	57029	160945	70746	NA	65609	68471	165116	223129	95299	139325	233708	287025
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	808066	598278	NA	1018297	837353	1119062	372954	567536	606422	799197	356422	560576	409384	596425	958120	1180879	614491	643238	375370	651182	492105	855392	NA	761310	293242	793664	351751	557814	1005197	1357381	518991	1175586	339776	NA	712193	816617	695313	535918	674192	439423	349659	799970	779461	928963	218561	833443	404857	948235	452688	870844	307749	443418	410228	363384	750425	1154091	523340	877358	1139526	1336411
"sphingomyelin (d18:1/24:1, d18:2/24:0)*"	4516428	2476542	3154871	4991696	4413753	5560332	2461387	3312315	3148807	5203686	2153921	3203930	2259305	2906501	3936427	6871791	3417208	3880978	3041516	3826795	3335334	4682990	3339467	4080192	2060527	3975388	1871857	2994263	5318108	7253371	3676323	7150393	2351037	1012607	3697626	4972373	4098762	4405777	3380409	3169471	2524654	5882700	4069452	5150112	2356793	4593201	2507170	5065786	2536505	4377054	2201868	2723932	2409443	2206674	3723963	4910652	3439603	5094497	5433478	6212180
"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	1969243	1898677	1795304	1875184	2103595	2226987	2092603	2520293	2614788	2785830	2683255	2404482	2153447	1960413	2393433	3263677	2234173	2952087	2339791	3092039	2822161	2633011	2165258	2245787	1997356	2675054	2008760	2566023	2916631	2440862	3441814	5088329	2875818	790348	3730659	4318670	3186068	3180912	3747463	2656369	3714710	5217432	2528794	3041248	3442720	2549687	2307130	3040834	2013757	2419328	2072367	2013610	1572785	1436955	3839391	4154906	3992820	5255626	4876496	5138536
"sphingomyelin (d18:2/24:1, d18:1/24:2)*"	1273864	959451	972961	1614443	1431020	1279121	598119	1040308	932856	1923365	552076	942362	712934	1213331	1245296	2326109	987128	1098471	1121604	1196498	1165675	1552699	1120994	1097862	700742	1276093	637128	1208317	2031876	2353332	836049	2098886	557060	110890	824365	1763266	872599	1339502	952150	761870	690979	804003	1535421	1704491	885366	1567967	565999	1414586	759632	1342945	613644	870240	738615	719741	1071711	1628954	971945	1119145	1651112	1730511
"sphingosine"	2637378	3069283	2289846	2843650	2464594	2772001	2136172	2107898	1884097	2662697	2233160	2429131	1223331	1369923	1882371	2166151	2538401	2724883	2846303	2696555	2256531	2524324	3069730	3440194	2496460	2731009	2090922	2928853	3880068	3538550	3554128	4355965	2893267	499863	3575453	3670792	2118724	2539346	2807348	1732610	2881973	3202030	3728809	3812186	3104891	3408113	4287526	3958126	3393806	3418899	3055176	2846324	3042706	3033697	4570904	3917836	5486400	5885455	7014189	6279313
"stachydrine"	161657	256121	146433	84802	131081	101618	169993	235631	220848	308318	231598	239927	245427	NA	524838	189421	373078	NA	182588	125245	174098	NA	125753	118905	282435	133422	223947	91446	237814	218637	NA	191438	532383	121964	172225	257355	318608	254979	278760	NA	1984682	3217807	290148	248968	160492	237522	213089	NA	408282	192362	153885	127856	364720	107102	21915352	NA	409122	257701	290697	454445
"stearoyl ethanolamide"	264097	229266	851575	341903	249621	1577799	1002812	3815441	256190	263085	257991	291910	266130	228339	1234118	2521559	1472862	357836	300730	1980325	2724566	3078528	329960	253045	297528	1895696	298052	291013	288607	1613695	344178	983243	350102	4889426	1932298	2212259	2716198	300080	2156713	338802	4620612	369333	291847	3996443	306923	301630	319074	4100832	284687	274006	285721	280816	266430	265635	469626	424262	433972	2681287	498563	950979
"stearoyl sphingomyelin (d18:1/18:0)"	2169639	1534092	1735929	2274566	2104567	2645480	963826	1499785	1611043	2483911	1109740	1497472	1424795	1749723	1663166	3039149	1500008	2053963	1594280	2027438	1923262	2848391	1758930	2345968	1120202	2323336	1003897	1763724	2505371	2934798	1860563	4089923	1230861	472630	2434855	3556624	2611996	2805860	2427942	1774810	1752113	3664806	2739731	3210995	2048823	2726173	1527448	3599300	1530424	2526999	1447646	1557158	1347938	1408562	2675127	3842164	2022985	3065691	3544385	4642239
"stearoylcarnitine"	1660289	2088977	1353319	1272607	1602613	1411905	1356464	1230806	757501	703947	1096013	821226	627848	556527	608693	731961	734693	764373	1671192	1570311	1538197	1508936	1497208	1448946	1517086	1593399	1517624	1551396	2148720	1897848	1402269	1427223	736159	222772	886402	838982	669446	600566	684459	447922	780966	796905	1526826	1415611	1371248	1059390	1119684	1145921	1174190	1240588	1283653	1201063	1068179	1097036	718015	817150	917912	931866	831850	877485
"succinate"	13823104	16004637	14130049	13628209	14301864	13965396	17358112	18704844	15120460	14003912	13615831	17703812	11877031	12290875	16533126	16189850	21925460	19765578	15810935	19590560	16831188	9623426	15904678	16223193	10949009	13157282	16341747	9727669	17180872	14702707	24126682	24560582	21973544	9045602	21725468	24399932	21345036	20465320	24707692	14950732	28126526	26721196	24480136	24773996	18607570	16388280	25117860	17705872	12770990	12970129	15259352	10784804	14130457	13202845	27469610	25525772	28171080	30417256	43149236	30592838
"succinylcarnitine"	99464	164195	154880	99742	78748	113639	297497	361937	194578	361364	252243	384995	117323	184519	379165	181264	445145	195423	241296	161333	167014	135817	130563	177462	275042	108698	194470	107314	151831	304631	259537	294276	541466	71900	274098	324546	276469	343291	245965	161028	244845	245488	326078	262975	236592	327973	177613	188082	180097	170550	87513	117361	164283	167517	526212	250499	831377	481232	508771	739270
"sulfate*"	10505633	17096756	19122706	9395453	NA	21578512	7995397	17889924	19003004	3268637	1154430	22419684	5431954	6426151	26618816	5834178	10823094	23606738	9553057	6252944	22895712	6563770	6097364	9897206	8945718	1028367	26976300	9974428	21245196	20339376	3241936	9897971	16911866	8530875	NA	20007460	9604510	12459358	22000952	2586082	3835759	22997116	8335319	5881270	19120624	9702874	20450742	24411304	5973465	275697	21109096	8555619	21788412	22047578	3212523	6464926	27795816	4399769	26491414	28147046
"taurine"	7498981	6674463	7228159	7695633	6617053	6623462	10127245	11351689	11078825	11733753	9446010	10132694	7529063	7683974	11473805	12549646	12093651	10808535	9613332	10552797	9595364	9567910	9446742	8545495	9592759	10240614	8613368	8564106	10177181	10680294	14982675	16393379	14253234	7004234	14456803	15435239	12590823	11930274	14021541	11136165	12851454	15759710	11087789	9579759	9095506	9628834	9856682	9974465	7474390	7589832	7278100	6135916	6934595	5589717	17199342	17519164	20660030	22241604	21854528	22216428
"thiamin (Vitamin B1)"	923569	1087714	1159383	868095	913110	944133	1697928	2247846	1495043	2392421	1343759	1961151	1123342	1364586	2519884	1270685	2530651	1561000	1592422	1247265	1056019	961849	1111947	669081	2006528	1192522	1405174	785856	1111712	1802953	1964697	1988377	3478930	343391	2396054	1695840	2041775	2470508	2050128	1031151	2129618	2304349	1693521	1387572	1170780	1685931	1098115	895007	1245143	1162283	925819	730065	1053849	985659	2726020	2026595	4162684	2707746	3083547	3894774
"thiamin diphosphate"	50281	47714	48145	49129	43455	43905	94127	92803	89042	87536	75297	77192	58253	62999	86071	81990	85256	87671	72535	81281	73981	53928	64810	58551	68820	66758	75424	62139	76927	68766	121185	146705	144858	17423	134268	138769	106027	109977	125242	73319	110373	128284	89102	76321	93950	80814	83369	75240	66037	66376	57586	61147	51053	54743	142444	112128	163032	169890	176043	185797
"thioproline"	1972702	5120319	4589775	4302478	4914542	3415502	5624038	3974410	2568805	3767891	3573421	3735589	3017931	3993678	4791351	3197711	7196173	2870762	5607030	3448616	2967936	5472321	2284388	3039956	3420282	2285110	2597106	2069219	3487388	3058276	5198543	3219878	5099788	929330	4456271	4265366	3960761	2628973	3353440	2902468	8608092	4828044	4996254	4473814	4817181	3531477	6210677	3069639	2383328	2793949	3407588	2635041	2404451	2039987	7938648	6066138	6773409	9082454	8048182	5543781
"threonine"	6214249	8110990	9906011	6419371	6117597	6971210	10156652	10195455	11832968	14384264	10257349	11832472	5562567	6707643	11162736	10015554	12838437	11384292	8533874	7758449	6425825	7209465	7675779	6468113	8224755	7322017	8446210	6031197	8283569	8182380	11609851	12141550	16916692	3170995	18793548	17015952	10053758	10832310	11436675	6239321	14690561	14361349	9669978	8583249	9405287	9340158	11735626	9583598	9075673	8197673	7342791	5785328	7919606	8452583	17113686	12734136	26386252	18841706	29558218	24486746
"tiglylcarnitine"	193179	325053	268405	152685	163414	146281	310115	387811	165787	430856	210972	345797	NA	173688	345622	131372	392345	192968	295711	151618	145198	125318	168825	157070	366844	159880	206374	163912	214955	279612	308846	273481	516430	47787	236795	306000	252902	354026	220759	127763	275093	272347	445929	282047	179461	299217	143259	221231	265743	211633	123558	136122	304102	150998	450897	289393	881136	385691	558138	773786
"trans-4-hydroxyproline"	30230262	54405784	51924016	35103976	46613560	47580952	59900356	52585664	33433974	58147420	43590432	54653120	28211154	44088632	68499360	48948368	75454480	40475340	49235224	29977206	32286808	43107556	39129260	40942248	41147280	26941368	36390448	27823042	33652604	57034124	61132064	46824376	74789392	21069704	56117112	68522400	49402980	58253160	59657316	44800900	75424248	53971304	64089556	58671404	39135636	47136576	54417776	50000896	42171984	40457360	39434360	38040432	43803692	45852988	93415168	50962988	93982176	94549936	85846704	102233376
"tricosanoyl sphingomyelin (d18:1/23:0)*"	NA	NA	NA	108244	NA	NA	NA	60045	NA	124540	NA	NA	NA	NA	241220	138726	74575	70600	NA	37673	NA	NA	NA	NA	NA	96712	NA	NA	55612	99460	67131	155745	NA	NA	133938	67285	NA	NA	50641	48918	NA	NA	46085	70970	NA	35358	NA	72524	NA	NA	NA	NA	NA	NA	105859	86296	NA	192556	198051	182818
"tricosenoate (23:1)"	NA	NA	NA	66410	49645	72460	64670	32096	50574	NA	NA	NA	NA	NA	77676	NA	NA	NA	44729	NA	NA	39405	NA	97957	58312	NA	62971	NA	NA	147097	154558	84271	NA	NA	130407	106115	67631	105974	201112	84986	124243	151979	174712	183365	118908	140279	128626	172461	118278	97178	163125	106263	60173	141888	141049	315728	247203	222435	326214	337525
"trigonelline (N'-methylnicotinate)"	320068	751782	418282	244849	476060	339566	781521	499063	412760	353542	528136	330325	497676	382191	572475	318039	810821	271797	1083776	567129	564333	309079	517129	216355	820651	456146	608161	326382	637220	389815	442991	354560	986513	166430	512543	818793	507589	635841	776367	346558	822008	385468	706520	344808	702630	419663	886130	392311	733454	590296	375475	267868	678664	297379	907030	411569	673325	562253	773171	484710
"trizma acetate"	504514	1226418	860300	741906	1288168	1278130	788984	1588314	432296	1697490	840668	840850	1053407	754865	863925	612593	488696	484306	880788	1046159	875109	581434	1912264	663267	1173873	1095925	98050880	1371917	425915	602104	NA	563251	624643	4375563	195958	919051	1442097	592385	NA	508174	478360	492560	514334	2259335	838672	906486	1604481	1609685	565362	539770	903016	753979	1638076	838516	919890	383035	499373	382845	NA	391373
"tryptophan"	2037404	2648535	3162149	2503533	2263043	2347569	3629665	4689443	4115742	5181146	3488531	5156444	2150203	2537674	5164460	2140108	5850139	3475528	3325331	2753019	2826075	2449809	2584450	2292413	4472862	2933683	3839091	1929933	2763199	4514961	5285476	4181504	6922442	955714	5900350	5218907	3547040	4314996	4335895	1972248	4822893	5044225	4473328	3364551	3787386	3980633	4175601	2767686	3433207	2930037	3154837	2149707	3575723	2985238	6259367	4635624	10031656	6682319	8538785	8742176
